id,constant,position,translate
178,indexCountersText.h2,Заголовок,Трейдинг на платформе
179,indexCountersText.text|dot,Подзаголовок,"Посещаемость сайта, количество пользователей, ежедневные объёмы торгов и торговых операций"
1.15. Обратная связь,,,
180,indexCallbackText.h2,Заголовок ,Онлайн-консультант
181,indexCallbackText.text1|dot,Подзаголовок ,Готов ответить на все ваши вопросы
182,indexCallbackText.text2|dot,Описание,Консультационные услуги по любым интересующим вас вопросам в круглосуточном режиме
1.16. Документы,,,
183,indexDocumentsText.h2,Заголовок,Информация о компании
184,indexDocumentsText.text|dot,Подзаголовок,"Основные данные о компании, документах, регулирующих её деятельность на рынке брокеров"
1.17. Платформа ,,,
185,indexPlatformText.h2,Заголовок,Торгуйте на финансовых рынках из любой точки земного шара
186,indexPlatformText.text|dot,Описание,"Платформа Company Name - продукт работы лучших разработчиков и финансовых экспертов. На ней собраны самые инновационные инструменты и функции для эффективной и успешной торговли. Достаточно иметь стабильное подключение к интернету, чтобы получить доступ к самой прогрессивной торговой площадке на рынке."
1.18. Футер,,,
56,footerContent,Футер текст,"Компания Company Name зарегистрирована по адресу: Northern Shops. Mile 1 Phillip Goldson Highway, Belize City, Belize. Деятельность компании осуществляется в соответствии с требованиями Кипрской комиссии по ценным бумагам и биржам (номер лицензии: 979/23), Комиссии по международным финансовым услугам (IFSC) (01/46/HP/77) и Комиссии по финансовым услугам Республики Маврикия (номер лицензии инвестиционного дилера: F07658994)."
2. Рынки и инструменты,,,
2.2. Обзор рынков,,,
2.2.1. Посадочный экран,,,
57,marketsHeaderText.title,Заголовок,Инвестиции на лучших торговых площадках!
58,marketsHeaderText.text|dot,Подзаголовок,Самые актуальные инвестиционные инструменты на платформе Company Name
59,commonMarketsText.title_graph,Заголовок торгового графика,График торгового инструмента
60,commonMarketsText.title_table,Заголовок таблицы инструментов,Таблица инструментов
61,commonMarketsText.footnote,Часы работы рынков,* часы открытия и закрытия торгов указаны по UTC+0
2.2.2. Валюты,,,
62,marketsListText.market1.title,Заголовок,Валюта
63,marketsListText.market1.text|dot,Подзаголовок,Торгуй валютными парами по свободным курсам.
2.2.3. Металлы,,,
64,marketsListText.market2.title,Заголовок,Драгоценные металлы
65,marketsListText.market2.text|dot,Подзаголовок,Приобретай защитные активы для минимизации рисков.
2.2.4. Акции,,,
66,marketsListText.market3.title,Заголовок,Ценные бумаги
67,marketsListText.market3.text|dot,Подзаголовок,Инвестируй в акции прибыльных компаний или стартапов.
2.2.5. Товары,,,
68,marketsListText.market4.title,Заголовок,Товары
69,marketsListText.market4.text|dot,Подзаголовок,Зарабатывай на разнице цен различных категорий товаров.
2.2.6. Индексы,,,
70,marketsListText.market5.title,Заголовок,Индексы
71,marketsListText.market5.text|dot,Подзаголовок,"Диверсифицируй инвестиционный портфель, приобретая индексы."
2.2.7. Криптовалюты,,,
72,marketsListText.market6.title,Заголовок,Криптовалютный рынок
73,marketsListText.market6.text|dot,Подзаголовок,Анализируй тренды рынка цифровой валюты и зарабатывай на разнице цен.
2.3. Валюты,,,
2.3.1. Посадочный экран,,,
74,forexHeaderText.title,Заголовок,Валюта
75,forexHeaderText.text|dot,Подзаголовок,Ликвидные инвестиции на валютном рынке
76,forexProfitsText.profit1.title,Преимущество №1. Заголовок.,Доступность
77,forexProfitsText.profit1.text|dot,Преимущество №1. Описание.,Для трейдинга на рынке валют достаточно небольшого размера инвестиций.
78,forexProfitsText.profit2.title,Преимущество №2. Заголовок.,График работы
79,forexProfitsText.profit2.text|dot,Преимущество №2. Описание.,Платформа Company Name обеспечивает круглосуточный доступ для осуществления торговли.
80,forexProfitsText.profit3.title,Преимущество №3. Заголовок.,Кредитное плечо
81,forexProfitsText.profit3.text|dot,Преимущество №3. Описание.,Трейдер имеет возможность оформления кредитного плеча на выгодных условиях.
82,forexProfitsText.profit4.title,Преимущество №4. Заголовок.,Прибыльность рынка
83,forexProfitsText.profit4.text|dot,Преимущество №4. Описание.,Высокая скорость совершения операций обеспечивает ликвидность инвестиций на валютном рынке.
2.3.2. Описание рынка,,,
84,forexAssetsText.title,Заголовок,Валютный рынок
85,forexAssetsText.text|dot,Подзаголовок,Является одним из самых ликвидных и доступных для трейдинга инвестиционных инструментов.
2.4. Металлы,,,
2.4.1. Посадочный экран,,,
86,metalsHeaderText.title,Заголовок,Драгоценные металлы
87,metalsHeaderText.text|dot,Подзаголовок,Защитные активы в составе инвестиционного портфеля
88,metalsProfitsText.profit1.title,Преимущество №1. Заголовок.,Низкая волатильность
89,metalsProfitsText.profit1.text|dot,Преимущество №1. Описание.,Цены на рынке драгметаллов имеют стабильные положительные тренды.
90,metalsProfitsText.profit2.title,Преимущество №2. Заголовок.,Фьючерсные контракты
91,metalsProfitsText.profit2.text|dot,Преимущество №2. Описание.,Являются прибыльным инвестиционным инструментом на рынке металлов.
92,metalsProfitsText.profit3.title,Преимущество №3. Заголовок.,Ликвидность инвестиций
93,metalsProfitsText.profit3.text|dot,Преимущество №3. Описание.,Драгметаллы являются востребованными активами для инвестирования.
